Anastassiou_GA	21310590
Sutter_TR	12424897,12516961,16317079,16371450,16460856,16783644,16893557,18056439,18256205,18416522,19226664,19126641,19255421,20819910,20971184,21812005,21835898,22395315,23152189,18416522,18416522,12424897,16893557,18256205,19226664,23152189,24452678,23152189,24452678,23152189,24451036,24451036,18416522,24452678,24452678,24452678,24451036,24451036,24451036
Swihart_GH	18968805
Taff_GN	18373868,24284356,24284356,24284356,24567875,24567875,24284356
Taller_BJ	16347830,16666691
Tan_TE	12763441
Tan_WY	3691427,2919242,2134503,8431645,7696819,8614755,8875162,9433062,9727296,10204388,10942785,20406446
Taylor_JP	20020773,20028791,20147319,20104022,20869592,23493702,23455423,23498974,23455423,24507191,23455423,24507191,24507191,24507191,24507191,24507191,24507191,24507191,24507191,24507191,24598546,24507191,24507191,23455423,24507191,24507191,24507191,24598546,24507191,23498974,23498974,24686783,24686783,24686783,24686783,24612671,24686783,24686783,24857366,24612671,24920614,23498974,24686783
Thomas_JD	18649812
Thorn_SA	23369772,24161840,24161840,24161840,24161840
Van Arsdale_RB	15973405,17186836
Van Oteghen_SL	9885063
Wang_J	8593806,9553040,9632756,10666565,11044454,11703427,12356825,14585359,15043220,14729487,15114364,15143167,15711545,15774028,15772094,16122728,16300398,16371421,16439620,16518820,16783644,16777074,16861741,17006453,17195418,17213195,17407642,17610435,17652402,20528444,18257977,18794032,18768390,19670997,19668213,20525272,20621865,20500223,20859256,21209884,20967502,21289118,21555290,21561393,21666668,21775150,21272533,22237106,22237022,22399586,21712147,22404326,22287236,22608389,22807675,22664645,22546549,22722829,22783954,22771129,23023863,22410804,22948160,23153540,22495373,23295467,23399083,23570431,23547728,23583981,23512697,22287236,23153540,23636155,23583981,23936323,23062785,23706653,23759673,24332040,23062785,23759673,23759673,16439620,23759673,16439620,24249714,24249714,23706653,23759673,24332040,24332040,23295467,24382416,23295467,24382416,24332040,24382416,23583981,22287236,23583981,22287236,23583981,22287236,23583981,22287236,23583981,22287236,23583981,24332040,22287236,23583981,24332040,24249714,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,24249714,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,22287236,23583981,24332040,23936323,22287236,23583981,24332040,24382416,22287236,23583981,24332040,24623800,24703847,24332040,24382416,24623800,24382416,23547728,23547728,24778017,24703847,22664645,22771129,23547728,24623800,24778017,24778017,22404326,22404326,24703847,24849969,24778017,18768390,22237106
Wang_L	15200120,15738272,15798219,16273546,16837578,18559668,18812459,22454585,20210845,22438713,21988161,23175803,23665904,23761262,24085430,24397210,24416236,24397210,24416236,24416236,24416236,23175803,23175803,24416236,24693236,24693236,23761262,24656772,24693236,24656772,24085430,23761262,23761262
Wang_Y	8730848,8760209,9221791,9277554,9530230,10600909,10216176,10713671,10725919,10766342,10969787,11058051,11145329,11424010,11923343,12736065,12752376,14638773,15303958,15303959,15450299,15456272,15342783,15890360,16165048,16113113,16270364,16439519,16494500,16834385,16921170,17245433,17286503,17411159,17229814,17029940,17761473,17606613,18033300,18054784,18177895,18198174,18541255,18627125,18482983,18538941,18722154,19201841,19464230,19804728,19954222,20360386,20150895,20411959,20728895,20889712,21199866,21358637,21465666,21723158,22195833,22231518,22308391,22294697,22375007,22654657,22504954,22697488,22619174,22692217,22806589,22421965,22937741,23665904,23752611,23766510,16113113,19804728,22195833,24014478,23153112,24282297,22421965,24282297,24386191,24386191,24397210,23766510,24386191,23766510,24416236,24152303,24397210,24416236,24416236,24386191,24416236,24282297,24386191,24282297,24014478,24416236,24014478,20360386,20360386,21358637,24559646,23153112,24633226,24559646,24633226,24633226,24559646,23763633,24633226,24849969,24152303,24443090,24633226,24014478,24152303,24443090,24282297,23763633
Ward_KD	8667568,9086692,9170768,9290861,9874912,10405680,11114688,11402253,11683532,12053437,12137176,12423190,14512063,15118194,15129927,15804687,15917035,16675003,17096622,17553700,17943865,18058352,18154601,18236217,18324571,19420278,19833991,21185126,21168300,22251765,22542293,22140149,22882805,24629480,24629480,24805885,24642592
Wark_DJ	7628173,7659208
Washington_G	16635942,20506863
Webster_CE	17521191,21780751,21999861,22539227,24007383,24202867,24202867,24007383
Weiss_LW	10721510,11317146,11710663,11834110,12741885,14636099,15144358,15574080,15903361,16440505,16700404,16939158,17037668,16888042,17530944,18076276,18978627,19568030,19560392,20508464,20706156,22228173,23198525,22362088,23860285,23860285,24149748
Whelan_JP	2331976,2348029,7789347,7567674,8907097,9564130,12079253,15023094,16536667,17219080,17347884,20972823,23276321,23494245,23494245,23494245,23494245
Wierdl_M	9721871,10718335,10945631,11431344,11431345,12538824,12869632,14967028,16009044,16107154,16985062,17210679,17378546,17399985,18188187,18721110,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040,24332040
Williams_JL	2478036,2215090,2171806,7692741,20104586,21284587,21284590,20462737,22033871,22808885,22771153,23026251
Williams_NA	19836688,19797406,21057255,21305350,22261216,22342450,22882115,24277769,24277770,24277769,24277770
Wong_T	23969239,24430612,24430612,24430612,24641623,24641623,23969239
Wright_PM	16383104,18065060,22420819
Wrobel_S	22838058
Wu_Q	21796102
Xu_L	12516961,16824496,17175356,17905926,18500935,18715197,19126641,21193550,21533142,21570130,22916119,22651236,23282414,23544116,23360450,23360450
Xu_Y	8969170,11279025,15007093,16529989,22871113,24840202,24840202
Yeasin_M	17877806,18366599,22931688,24400521,24400521
Yen_M	16817653
Yu_X	20649590,22285084,22653076,23154551,23129514,23910633,23129514,24266949,24266949,24266949,24266949,24266949,24266949,24266949,24266949,24266949,24266949,24266949,23129514,24721817,24636044,24721817,24636044,24636044,24721817
Yuan_S	22109208
Zhang_C	12228768,14613914,14984253,15007093,15238996,15044192,15271661,15504976,15681847,15897359,16051453,16024570,16373608,16717106,16679391,16844918,17322172,17525252,17478730,17823285,18343091,18602022,19011046,18799160,19709640,19738398,20705243,22994182
Zhao_X	21999861,22095876,22539227
